candidate_id,candidate_class,KG1_MECHANISM,KG2_DATA,KG3_EXECUTION,KG4_HALF_LIFE,KG5_FALSIFIABILITY,overall_status,status_ceiling,blocking_issue_ids
TUP-CME-ES-H1-QDEP-PAS,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,PASS,WEAK,NOT_ALIVE,UNK-0001|UNK-0002|UNK-0003|UNK-0009-MECH-CME|UNK-0018-CME|UNK-0023-CME-DOCS|UNK-0023-LIT|UNK-0027-CME-INDEX|UNK-0028
TUP-CME-ES-H3-OFI-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,PASS,UNKNOWN,NOT_ALIVE,UNK-0001|UNK-0002|UNK-0003|UNK-0009-MECH-CME|UNK-0018-CME|UNK-0023-CME-DOCS|UNK-0023-LIT|UNK-0027-CME-INDEX|UNK-0028
TUP-CME-NQ-H3-OFI-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,PASS,UNKNOWN,NOT_ALIVE,UNK-0001|UNK-0002|UNK-0003|UNK-0009-MECH-CME|UNK-0018-CME|UNK-0023-CME-DOCS|UNK-0023-LIT|UNK-0027-CME-INDEX|UNK-0028
TUP-CME-TSY-H2-QREPL-MIX,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,NOT_ALIVE,UNK-0001|UNK-0002|UNK-0003|UNK-0009-MECH-CME|UNK-0018-CME|UNK-0023-CME-DOCS|UNK-0023-LIT|UNK-0027-CME-OTHER|UNK-0028
TUP-CME-WTI-H4-FLOWVOL-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,UNKNOWN,NOT_ALIVE,UNK-0001|UNK-0002|UNK-0003|UNK-0009-MECH-CME|UNK-0018-CME|UNK-0023-CME-DOCS|UNK-0023-LIT|UNK-0027-CME-OTHER|UNK-0028
TUP-NASDAQ-LARGETICK-H2-QIMB-AGG,TUPLE,PASS,BLOCKED,BLOCKED,PASS,PASS,DEAD,NOT_ALIVE,UNK-0004|UNK-0005|UNK-0018-NASDAQ|UNK-0027-NASDAQ-LARGETICK|UNK-0028|UNK-0033
TUP-NASDAQ-LARGETICK-H2-QIMB-PAS,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,DEAD,NOT_ALIVE,UNK-0028
TUP-NASDAQ-LARGETICK-H2H3-MICRO-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,DEAD,NOT_ALIVE,UNK-0004|UNK-0005|UNK-0009-MECH-NASDAQ-MICRO|UNK-0018-NASDAQ|UNK-0027-NASDAQ-MICRO|UNK-0028|UNK-0033
TUP-NASDAQ-ANYCAP-H4-AUCTION-AGG,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,PASS,UNKNOWN,NOT_ALIVE,UNK-0004|UNK-0005|UNK-0018-NASDAQ|UNK-0020|UNK-0023-EXCH-OTHER|UNK-0027-AUCTION|UNK-0028
TUP-CBOEBZX-LARGETICK-H2H3-SPREADCAP-PAS,TUPLE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,WEAK,NOT_ALIVE,UNK-0005|UNK-0018-BZX|UNK-0022|UNK-0028|UNK-0033
