venue_id,instrument,maker_fee_value,maker_fee_unit,taker_fee_value,taker_fee_unit,rebate_value,rebate_unit,perp_open_fee_value,perp_open_fee_unit,perp_close_fee_value,perp_close_fee_unit,one_way_maker_fee_bps,one_way_taker_fee_bps,round_trip_maker_maker_fee_bps,round_trip_maker_taker_fee_bps,round_trip_taker_taker_fee_bps,round_trip_flat_fee_bps,bps_conversion_requires_price,fee_source_ids,unknown_fields
VEN-CME-ES,ES (E-mini S&P 500 future),,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,,,,NO,NONE,maker_fee_value|taker_fee_value|rebate_value|perp_open_fee_value|perp_close_fee_value|one_way_maker_fee_bps|one_way_taker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|round_trip_flat_fee_bps
VEN-CME-NQ,NQ (E-mini Nasdaq-100 future),,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,,,,NO,NONE,maker_fee_value|taker_fee_value|rebate_value|perp_open_fee_value|perp_close_fee_value|one_way_maker_fee_bps|one_way_taker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|round_trip_flat_fee_bps
VEN-CME-TSY,Treasury future (exact contract UNSPECIFIED: contract family only),,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,,,,NO,NONE,maker_fee_value|taker_fee_value|rebate_value|perp_open_fee_value|perp_close_fee_value|one_way_maker_fee_bps|one_way_taker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|round_trip_flat_fee_bps
VEN-CME-WTI,WTI crude oil future (contract month UNSPECIFIED),,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,,,,NO,NONE,maker_fee_value|taker_fee_value|rebate_value|perp_open_fee_value|perp_close_fee_value|one_way_maker_fee_bps|one_way_taker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|round_trip_flat_fee_bps
VEN-NASDAQ-CONT,Large-tick U.S. listed stock (symbol UNSPECIFIED),,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,,,,NO,NONE,maker_fee_value|taker_fee_value|rebate_value|perp_open_fee_value|perp_close_fee_value|one_way_maker_fee_bps|one_way_taker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|round_trip_flat_fee_bps
VEN-NASDAQ-AUCTION,Nasdaq-listed stock (closing auction),,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,,,,NO,NONE,maker_fee_value|taker_fee_value|rebate_value|perp_open_fee_value|perp_close_fee_value|one_way_maker_fee_bps|one_way_taker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|round_trip_flat_fee_bps
VEN-CBOEBZX-EQ,U.S. listed stock >= $1 (symbol UNSPECIFIED),,UNKNOWN,0.003,USD_PER_SHARE,0.0016,USD_PER_SHARE,,UNKNOWN,,UNKNOWN,,,,,,,YES,SRC-0114,maker_fee_value|perp_open_fee_value|perp_close_fee_value|one_way_maker_fee_bps|one_way_taker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|round_trip_flat_fee_bps
VEN-CBOE-OPT,U.S. listed option (underlying/expiry UNSPECIFIED),,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,,,,NO,NONE,maker_fee_value|taker_fee_value|rebate_value|perp_open_fee_value|perp_close_fee_value|one_way_maker_fee_bps|one_way_taker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|round_trip_flat_fee_bps
VEN-COINBASE-BTCUSD,BTC-USD spot,40,BPS,60,BPS,,UNKNOWN,,UNKNOWN,,UNKNOWN,40.0,60.0,80.0,100.0,120.0,,NO,SRC-0105,rebate_value|perp_open_fee_value|perp_close_fee_value|round_trip_flat_fee_bps
VEN-KRAKEN-BTCUSD,BTC/USD spot,40,BPS,80,BPS,,UNKNOWN,,UNKNOWN,,UNKNOWN,40.0,80.0,80.0,120.0,160.0,,NO,SRC-0106,rebate_value|perp_open_fee_value|perp_close_fee_value|round_trip_flat_fee_bps
VEN-KRAKEN-BTCPERP,Perpetual futures (referenced product),,UNKNOWN,,UNKNOWN,,UNKNOWN,0.25,PERCENT,0.25,PERCENT,,,,,,50.0,NO,SRC-0106,maker_fee_value|taker_fee_value|rebate_value|one_way_maker_fee_bps|one_way_taker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps
VEN-HYPERLIQUID-BTCPERP,BTC perpetual,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,,,,NO,NONE,maker_fee_value|taker_fee_value|rebate_value|perp_open_fee_value|perp_close_fee_value|one_way_maker_fee_bps|one_way_taker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|round_trip_flat_fee_bps
VEN-EUREX-FESX,FESX/DAX equity-index future (contract UNSPECIFIED),,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,UNKNOWN,,,,,,,NO,NONE,maker_fee_value|taker_fee_value|rebate_value|perp_open_fee_value|perp_close_fee_value|one_way_maker_fee_bps|one_way_taker_fee_bps|round_trip_maker_maker_fee_bps|round_trip_maker_taker_fee_bps|round_trip_taker_taker_fee_bps|round_trip_flat_fee_bps
