horizon_ms,threshold_abs_imbalance,observations,coverage_fraction_of_valid,hit_rate_given_nonzero_move,balanced_accuracy_given_nonzero_move,unconditional_hit_fraction_including_flats,directional_hits,directional_misses,zero_moves,zero_move_fraction,fraction_non_abstained,baseline_hit_rate_unconditional_side,note
100,0.0,13404431,0.9390802157769371,0.6452180298991891,0.6451782636007805,0.018745667011154744,251275,138167,13014989,0.9709467712579519,0.9390802157769371,0.5049301308025328,diagnostic only; thresholds declared before results; no optimisation
100,0.1,11764707,0.8242053383774696,0.6558221990631921,0.6557719426472175,0.019684298129991677,231580,121534,11411593,0.9699853128513953,0.8242053383774696,0.5055959265279768,diagnostic only; thresholds declared before results; no optimisation
100,0.2,10149069,0.7110178646490122,0.6662065373912552,0.6661530861429295,0.020923495544271104,212354,106397,9830318,0.9685930798184543,0.7110178646490122,0.5059623342358143,diagnostic only; thresholds declared before results; no optimisation
100,0.3,8382136,0.5872310494605577,0.676623767916326,0.6765714270611988,0.02250500349791509,188640,90156,8103340,0.9667392655046398,0.5872310494605577,0.506144277536263,diagnostic only; thresholds declared before results; no optimisation
100,0.5,4953275,0.34701380131708,0.6952252609614684,0.695148683646827,0.0258299811740717,127943,56088,4769244,0.9628466014909328,0.34701380131708,0.5077514114469844,diagnostic only; thresholds declared before results; no optimisation
100,0.8,1650755,0.11564768109850077,0.6702009285431082,0.6700657538537329,0.03174365669042347,52401,25786,1572568,0.9526356121895738,0.11564768109850077,0.5098929489557088,diagnostic only; thresholds declared before results; no optimisation
250,0.0,13404312,0.939079905264708,0.6404811708114123,0.6404078597692934,0.04070630406096187,545640,306282,12552390,0.9364441830360261,0.939079905264708,0.506450121020469,diagnostic only; thresholds declared before results; no optimisation
250,0.1,11764591,0.8242042561944273,0.6511770017592751,0.6511017465990969,0.042662681601085835,501909,268863,10993819,0.9344837402337234,0.8242042561944273,0.5069008734100356,diagnostic only; thresholds declared before results; no optimisation
250,0.2,10148963,0.711016515623855,0.6614224948180073,0.6613404298770886,0.045244031336009405,459180,235051,9454732,0.9315958684645909,0.711016515623855,0.5073973936629163,diagnostic only; thresholds declared before results; no optimisation
250,0.3,8382036,0.5872290627676655,0.6719926923381875,0.6719067766390283,0.04853462810228923,406819,198573,7776644,0.9277750656284464,0.5872290627676655,0.5077255728519703,diagnostic only; thresholds declared before results; no optimisation
250,0.5,4953198,0.34701137280282207,0.6906244247591238,0.6905169534711082,0.055294175601298394,273883,122690,4556625,0.9199359686408659,0.34701137280282207,0.5093463246363218,diagnostic only; thresholds declared before results; no optimisation
250,0.8,1650717,0.1156460073429239,0.6637970883986193,0.6635742900995376,0.06698422564255412,110572,56003,1484142,0.899089304829356,0.1156460073429239,0.5133183250787933,diagnostic only; thresholds declared before results; no optimisation
500,0.0,13404192,0.9390795246885263,0.6351049868766404,0.6350024211966924,0.07004249118484725,938863,539417,11925912,0.8897150980827491,0.9390795246885263,0.5076507833428038,diagnostic only; thresholds declared before results; no optimisation
500,0.1,11764481,0.8242035943447541,0.6457652959928676,0.6456629208578009,0.07326562047233533,861932,472813,10429736,0.8865445062982379,0.8242035943447541,0.5081749697507764,diagnostic only; thresholds declared before results; no optimisation
500,0.2,10148860,0.7110153767515712,0.655820938334359,0.6557110560255343,0.0774972755560723,786509,412765,8949586,0.8818316539985772,0.7110153767515712,0.5086669101473058,diagnostic only; thresholds declared before results; no optimisation
500,0.3,8381946,0.5872277766272591,0.6661459052617041,0.6660324736974812,0.08286774932694627,694593,348111,7339242,0.8756012028710278,0.5872277766272591,0.5088884285473154,diagnostic only; thresholds declared before results; no optimisation
500,0.5,4953124,0.3470091544229844,0.6843732289144211,0.6842376233533038,0.09386096532208764,464905,214410,4273809,0.8628512025945646,0.3470091544229844,0.5105584301833465,diagnostic only; thresholds declared before results; no optimisation
500,0.8,1650677,0.11564419344144597,0.6576525410874098,0.6574129839789108,0.11294275015645096,186432,97049,1367196,0.8282637972177477,0.11564419344144597,0.5139815366814707,diagnostic only; thresholds declared before results; no optimisation
1000,0.0,13403891,0.9390785031594672,0.6264993588059633,0.6263692873932261,0.11422713001769412,1531088,912790,10960013,0.8176739873518817,0.9390785031594672,0.5086395474733191,diagnostic only; thresholds declared before results; no optimisation
1000,0.1,11764198,0.824201379189938,0.6369469875007043,0.6368168086919626,0.1191555939469907,1401770,798994,9563434,0.8129269840579018,0.824201379189938,0.5094021894214918,diagnostic only; thresholds declared before results; no optimisation
1000,0.2,10148603,0.7110125645157572,0.646635526201663,0.646494298812136,0.12561728939441222,1274840,696657,8177106,0.8057371049000537,0.7110125645157572,0.5099683134186864,diagnostic only; thresholds declared before results; no optimisation
1000,0.3,8381721,0.5872245611800538,0.656477026134541,0.656326557527492,0.13365250406211326,1120238,586201,6675282,0.796409472469914,0.5872245611800538,0.5103018625336154,diagnostic only; thresholds declared before results; no optimisation
1000,0.5,4952940,0.34700367836762114,0.6748155881000473,0.674632141470941,0.15021865800918244,744024,358535,3850381,0.7773930231337347,0.34700367836762114,0.5123118127918778,diagnostic only; thresholds declared before results; no optimisation
1000,0.8,1650617,0.11564246095775997,0.6485946865915817,0.6483114103736484,0.17869923792133488,294964,159810,1195843,0.7244824208159737,0.11564246095775997,0.5155197966462463,diagnostic only; thresholds declared before results; no optimisation
