trading_day,unit,unit_id,observations,price_usd_count,price_usd_mean,price_usd_median,price_usd_std,price_usd_p01,price_usd_p05,price_usd_p25,price_usd_p75,price_usd_p95,price_usd_p99,price_usd_min,price_usd_max,spread_usd_count,spread_usd_mean,spread_usd_median,spread_usd_std,spread_usd_p01,spread_usd_p05,spread_usd_p25,spread_usd_p75,spread_usd_p95,spread_usd_p99,spread_usd_min,spread_usd_max,spread_ticks_count,spread_ticks_mean,spread_ticks_median,spread_ticks_std,spread_ticks_p01,spread_ticks_p05,spread_ticks_p25,spread_ticks_p75,spread_ticks_p95,spread_ticks_p99,spread_ticks_min,spread_ticks_max,bid_size_shares_count,bid_size_shares_mean,bid_size_shares_median,bid_size_shares_std,bid_size_shares_p01,bid_size_shares_p05,bid_size_shares_p25,bid_size_shares_p75,bid_size_shares_p95,bid_size_shares_p99,bid_size_shares_min,bid_size_shares_max,ask_size_shares_count,ask_size_shares_mean,ask_size_shares_median,ask_size_shares_std,ask_size_shares_p01,ask_size_shares_p05,ask_size_shares_p25,ask_size_shares_p75,ask_size_shares_p95,ask_size_shares_p99,ask_size_shares_min,ask_size_shares_max,staleness_ms_count,staleness_ms_mean,staleness_ms_median,staleness_ms_std,staleness_ms_p01,staleness_ms_p05,staleness_ms_p25,staleness_ms_p75,staleness_ms_p95,staleness_ms_p99,staleness_ms_min,staleness_ms_max,events_prior_100ms_bucket_count,events_prior_100ms_bucket_mean,events_prior_100ms_bucket_median,events_prior_100ms_bucket_std,events_prior_100ms_bucket_p01,events_prior_100ms_bucket_p05,events_prior_100ms_bucket_p25,events_prior_100ms_bucket_p75,events_prior_100ms_bucket_p95,events_prior_100ms_bucket_p99,events_prior_100ms_bucket_min,events_prior_100ms_bucket_max,one_tick_spread_fraction
2019-07-30,POOLED,ALL_DEV_SCOPE_SYMBOLS,14274000,14274000,155.95423169924337,69.885,310.40316270800844,9.845,14.425,46.895,120.115,327.89,1897.515,9.245,1909.755,14274000,0.048169094157208915,0.01,0.10799259539672984,0.01,0.01,0.01,0.03,0.27,0.55,0.01,7.93,14274000,4.816909415720891,1.0,10.799259539672985,1.0,1.0,1.0,3.0,27.0,55.0,1.0,793.0,14274000,773.5083377469525,300.0,1542.9746565446694,1.0,16.0,114.0,800.0,2814.0,6100.0,1.0,96911.0,14274000,730.1918435617206,300.0,1431.1335130135044,1.0,17.0,105.0,785.0,2762.0,5883.0,1.0,68938.0,14274000,584.6742746554861,245.898007,971.2984973468391,1.7540407999999998,11.951171150000004,84.55807525,654.71039925,2325.8093501499975,4701.09437096,6e-06,24667.984407,14274000,1.7029721171360515,0.0,7.49879968230094,0.0,0.0,0.0,1.0,7.0,28.0,0.0,1557.0,0.5864613282891972
2019-07-30,SYMBOL,AABA,234000,234000,70.72384799145298,70.71,0.0617821050518236,70.55,70.65,70.685,70.755,70.845,70.875,70.395,70.91,234000,0.012196581196581197,0.01,0.009305968093776741,0.01,0.01,0.01,0.01,0.02,0.04,0.01,1.08,234000,1.2196581196581198,1.0,0.9305968093776741,1.0,1.0,1.0,1.0,2.0,4.0,1.0,108.0,234000,677.1395555555556,520.0,529.2134937067924,20.0,100.0,300.0,900.0,1700.0,2497.0,1.0,5468.0,234000,576.422217948718,500.0,437.43388944554266,75.0,100.0,289.0,774.0,1456.0,2120.0,1.0,4025.0,234000,787.5057699608376,346.635616,1164.1157865249825,2.58075475,16.66966645,114.15381275,964.9125015,3064.370304349999,5699.80148367,0.000912,13986.349117,234000,1.0539316239316239,0.0,4.227776110659926,0.0,0.0,0.0,0.0,5.0,16.0,0.0,177.0,0.8567863247863248
2019-07-30,SYMBOL,AAL,234000,234000,30.63549452991453,30.655,0.10207371628256894,30.325,30.425,30.595,30.705,30.765,30.785,30.215,30.805,234000,0.01081957264957265,0.01,0.00466155584944229,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.28,234000,1.0819572649572649,1.0,0.46615558494422904,1.0,1.0,1.0,1.0,2.0,2.0,1.0,28.0,234000,705.9662393162394,600.0,605.1775359246082,100.0,104.0,400.0,900.0,1600.0,3072.0,1.0,17527.0,234000,700.3259401709402,566.0,877.3717228266136,36.0,100.0,305.0,857.0,1722.0,2800.0,1.0,30459.0,234000,732.7200856729146,355.30237999999997,1024.3014463653983,3.48785576,20.909277,127.94044775,903.0351605,2733.8027753499973,5037.90211898,0.000383,13588.353062,234000,1.295628205128205,0.0,6.5335547499737014,0.0,0.0,0.0,0.0,5.0,23.0,0.0,271.0,0.9399017094017094
2019-07-30,SYMBOL,AAPL,234000,234000,208.55655621794872,208.24,0.7275979326371104,207.405,207.66,208.02,209.235,209.82,209.995,207.315,210.16,234000,0.015170811965811966,0.01,0.006934560028886313,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.25,234000,1.5170811965811966,1.0,0.6934560028886312,1.0,1.0,1.0,2.0,2.0,3.0,1.0,25.0,234000,308.5704188034188,238.0,325.7710652182664,10.0,28.0,129.0,424.0,730.0,1345.0,1.0,18650.0,234000,382.8517264957265,269.0,688.2666067192936,7.0,30.0,133.0,429.0,835.0,3376.0500000000466,1.0,17241.0,234000,122.65655057658546,69.759781,164.04209683186,0.42232478,3.4178376999999998,25.8583915,156.54614725000002,408.97935594999956,798.7220968800001,0.000182,2957.583631,234000,5.155987179487179,1.0,14.300421937177973,0.0,0.0,0.0,5.0,24.0,53.0,0.0,1557.0,0.5333376068376069
2019-07-30,SYMBOL,ADBE,234000,234000,304.002773568376,303.865,0.8080476180975562,302.68,302.965,303.38,304.425,305.585,306.415,302.555,307.045,234000,0.09461200854700856,0.08,0.06926771957792073,0.02,0.03,0.06,0.11,0.21,0.43,0.01,0.83,234000,9.461200854700854,8.0,6.926771957792074,2.0,3.0,6.0,11.0,21.0,43.0,1.0,83.0,234000,143.43725641025642,100.0,284.3484295660887,1.0,3.0,56.0,200.0,338.0,506.0,1.0,8687.0,234000,111.1988547008547,100.0,104.81802304961671,1.0,1.0,26.0,150.0,300.0,439.0,1.0,2912.0,234000,625.5970211991367,293.603918,911.2955792995099,2.4623242300000006,15.5547126,99.9540715,760.7145445,2388.8864423499986,4460.395241850008,0.000623,14625.998106,234000,1.0767905982905983,0.0,4.060909986400375,0.0,0.0,0.0,1.0,5.0,19.0,0.0,227.0,0.005589743589743589
2019-07-30,SYMBOL,ADI,234000,234000,120.89685316239317,120.975,0.25144087525421366,120.095,120.33,120.84,121.04,121.165,121.325,119.625,121.385,234000,0.03417333333333333,0.02,0.037125098513376996,0.01,0.01,0.02,0.04,0.09,0.21,0.01,0.52,234000,3.417333333333333,2.0,3.7125098513377,1.0,1.0,2.0,4.0,9.0,21.0,1.0,52.0,234000,153.66999572649573,105.0,106.2203281946861,1.0,5.0,100.0,200.0,346.0,500.0,1.0,5100.0,234000,154.91728205128206,100.0,278.2326082468801,3.0,16.0,100.0,200.0,300.0,500.0,1.0,25131.0,234000,594.9833418274529,267.32370349999997,900.9618677270785,2.3539444300000003,15.066520350000001,95.12375825,690.490262,2346.7026543999987,4514.239058150018,0.000729,10559.248931,234000,1.3695555555555556,0.0,4.50006579456646,0.0,0.0,0.0,1.0,7.0,22.0,0.0,256.0,0.1666923076923077
2019-07-30,SYMBOL,ALXN,234000,234000,114.0848713888889,114.48,1.0443148907380684,111.405,112.005,113.625,114.86,115.21,115.4,110.84,115.575,234000,0.06924346153846155,0.05,0.06088012869587743,0.01,0.02,0.04,0.08,0.16,0.34,0.01,2.26,234000,6.9243461538461535,5.0,6.088012869587743,1.0,2.0,4.0,8.0,16.0,34.0,1.0,226.0,234000,161.03691025641027,110.0,118.71909379962455,1.0,2.0,100.0,200.0,400.0,535.0,1.0,5500.0,234000,166.66633333333334,102.0,177.79770366160366,1.0,3.0,100.0,200.0,400.0,600.0,1.0,4600.0,234000,830.4437781254874,348.0859345,1247.7741999975835,3.1150295100000007,19.20122955,120.43310675,1007.07427575,3294.5836677499988,5975.503523900015,0.000388,15396.02889,234000,0.9264188034188034,0.0,3.498797913560038,0.0,0.0,0.0,0.0,5.0,16.0,0.0,108.0,0.020854700854700856
2019-07-30,SYMBOL,AMAT,234000,234000,50.76001181623932,50.815,0.19893502909535693,50.225,50.415,50.605,50.895,51.015,51.025,49.925,51.045,234000,0.011655,0.01,0.006154008499024922,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.63,234000,1.1655,1.0,0.6154008499024921,1.0,1.0,1.0,1.0,2.0,4.0,1.0,63.0,234000,644.6723418803418,520.0,519.0196153480703,39.0,100.0,300.0,900.0,1549.0,2200.0,1.0,17351.0,234000,472.4254401709402,400.0,395.38351711188193,10.0,100.0,200.0,600.0,1177.0,1921.0,1.0,14509.0,234000,403.0985891233974,193.371951,616.70445219669,1.48192975,10.790478100000001,70.3699205,468.427858,1521.0425215999999,2949.596058790005,0.000284,11749.591021,234000,1.8227094017094017,0.0,7.4407546852871205,0.0,0.0,0.0,1.0,7.0,32.0,0.0,370.0,0.885059829059829
2019-07-30,SYMBOL,AMD,234000,234000,33.462621645299144,33.465,0.20757327224514052,33.025,33.075,33.335,33.645,33.745,33.855,32.945,33.935,234000,0.010089615384615386,0.01,0.0010789792770300262,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,234000,1.0089615384615385,1.0,0.1078979277030026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,234000,4970.751854700855,4210.0,3680.3194442412,300.0,736.0,2350.0,6651.25,11650.0,16982.0,1.0,56367.0,234000,5307.683649572649,4301.0,5682.22529593781,240.0,700.0,2500.0,6500.0,11770.0,25340.0,1.0,68938.0,234000,178.22484772967522,97.762051,235.55444151073593,0.7539639100000001,5.2958744,38.229017999999996,225.4812725,614.8309878499998,1158.714863310002,9e-06,3752.097104,234000,3.756897435897436,1.0,13.947730172030692,0.0,0.0,0.0,3.0,13.0,70.0,0.0,892.0,0.9918247863247863
2019-07-30,SYMBOL,AMTD,234000,234000,51.22013602564102,51.215,0.11329498137014235,51.005,51.055,51.135,51.305,51.425,51.455,50.91,51.485,234000,0.012336153846153846,0.01,0.010298457314702756,0.01,0.01,0.01,0.01,0.02,0.05,0.01,0.8,234000,1.2336153846153846,1.0,1.0298457314702758,1.0,1.0,1.0,1.0,2.0,5.0,1.0,80.0,234000,545.9469145299146,500.0,398.95212957149687,100.0,100.0,300.0,700.0,1164.0,1700.0,1.0,7951.0,234000,603.070858974359,500.0,539.3368731633625,46.0,100.0,300.0,779.0,1300.0,2107.0,1.0,9875.0,234000,829.2142745045469,416.9780885,1111.9949593112162,4.5459933,26.12479205,156.6042085,1066.01889025,2992.4032182499977,5162.806162940004,0.000529,16063.329917,234000,0.8918974358974359,0.0,4.271703599883408,0.0,0.0,0.0,0.0,4.0,14.0,0.0,297.0,0.8763504273504273
