imbalance_bin,spread_class,price_band,observations,mean_oracle_gross_bps,mean_oracle_net_structural_floor_bps,mean_oracle_net_accessible_fixed_bps,mean_oracle_net_accessible_tiered_bps,prob_oracle_net_structural_floor_positive,prob_oracle_net_accessible_fixed_positive,prob_oracle_net_accessible_tiered_positive,mean_oracle_net_structural_floor_bps_signal_defined,mean_oracle_net_accessible_fixed_bps_signal_defined,mean_oracle_net_accessible_tiered_bps_signal_defined,observations_signal_defined,share_of_valid_states,share_of_signal_defined_observations,horizon_ms,delay_ms,oracle_trade_fraction,oracle_buy_fraction,cost_ledger_id,label,note
"[-1.0,-0.8)",ONE_TICK,5-25,2938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2938,0.0020582877959927142,0.0021918323285570088,100,0,0.0,0.9805990469707284,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",ONE_TICK,25-50,6607,0.0020326033547731935,0.0006173716103576805,0.0,0.0,0.0007567731194187983,0.0,0.0,0.0006173716103576805,0.0,0.0,6607,0.0046286955303348745,0.004929011638793791,100,0,0.0007567731194187983,0.972302103829272,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",ONE_TICK,50-100,8932,0.0014171870905337462,0.0006266111572787119,3.464404114810078e-08,0.00018686385862409384,0.0006717420510523958,0.00011195700850873264,0.0002239140170174653,0.0006266111572787119,3.464404114810078e-08,0.00018686385862409384,8932,0.006257531175563963,0.006663528372590607,100,0,0.0006717420510523958,0.9674205105239588,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",ONE_TICK,100-200,5687,0.005021083421215483,0.0024732595127096107,0.0015364775789051869,0.0017351972931556865,0.003516792685071215,0.0005275189027606822,0.0010550378055213644,0.0024732595127096107,0.0015364775789051869,0.0017351972931556865,5687,0.003984167016953902,0.004242665232302148,100,0,0.0038684719535783366,0.9511165816775101,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",ONE_TICK,200+,1002,0.03494933768202236,0.031212466852801067,0.029821899125176424,0.03013482207982312,0.0029940119760479044,0.001996007984031936,0.0029940119760479044,0.031212466852801067,0.029821899125176424,0.03013482207982312,1002,0.0007019756200084069,0.0007475207601137246,100,0,0.007984031936127744,0.8842315369261478,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,5-25,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214,0.0001499229368081827,0.0001596501423795779,100,0,0.0,0.9719626168224299,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,25-50,926,0.005820721841149341,0.001770263214286043,0.0,0.0,0.0021598272138228943,0.0,0.0,0.001770263214286043,0.0,0.0,926,0.00064873196020737,0.0006908225787078932,100,0,0.0021598272138228943,0.9427645788336934,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,50-100,3653,0.004147306624091591,0.0026941340479425388,0.0010830881872476391,0.0016626026438921859,0.0010949904188338351,0.0005474952094169176,0.0005474952094169176,0.0026941340479425388,0.0010830881872476391,0.0016626026438921859,3653,0.0025591985428051003,0.002725242850993449,100,0,0.0010949904188338351,0.9657815494114427,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,100-200,18955,0.002638204834229131,0.0014876177344091378,0.0009277776272868062,0.0010702021722634996,0.0014771828013716698,0.0005275652862041678,0.0006858348720654181,0.0014876177344091378,0.0009277776272868062,0.0010702021722634996,18955,0.01327938909906123,0.014140974059835979,100,0,0.0017937219730941704,0.9611184384067528,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,200+,30811,0.0015389615274666673,0.0012451702930394264,0.0011545957864558172,0.0011417547354424574,0.00048683911590016553,0.0005192950569601766,0.0004543831748401545,0.0012451702930394264,0.0011545957864558172,0.0011417547354424574,30811,0.021585400028022977,0.022985890359145677,100,0,0.0008438544675602869,0.9563467592742851,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
