imbalance_bin,spread_class,price_band,observations,mean_signal_signed_mid_move_bps,net_structural_floor_bps,qimb_bound_structural_floor_bps,abstention_gain_structural_floor_bps,net_accessible_fixed_bps,qimb_bound_accessible_fixed_bps,abstention_gain_accessible_fixed_bps,net_accessible_tiered_bps,qimb_bound_accessible_tiered_bps,abstention_gain_accessible_tiered_bps,prob_net_structural_floor_positive,prob_qimb_bound_structural_floor_positive,prob_net_accessible_fixed_positive,prob_qimb_bound_accessible_fixed_positive,prob_net_accessible_tiered_positive,prob_qimb_bound_accessible_tiered_positive,horizon_ms,delay_ms,side_dictated_by,cost_ledger_id,label,note
"[-1.0,-0.8)",ONE_TICK,5-25,2938,0.11119284150603025,-11.218427147756541,0.0,11.218427147756541,-20.480245513908354,0.0,20.480245513908354,-16.30120194810837,0.0,16.30120194810837,0.0,0.0,0.0,0.0,0.0,0.0,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-1.0,-0.8)",ONE_TICK,25-50,6607,0.06706050927545139,-4.5265103133245015,0.0005280354576106921,4.527038348782112,-8.05117148589116,0.0,8.05117148589116,-6.529306508101943,0.0,6.529306508101943,0.0006054184955350386,0.0006054184955350386,0.0,0.0,0.0,0.0,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-1.0,-0.8)",ONE_TICK,50-100,8932,0.039358643479498454,-2.7640424598912556,0.0002762394564582682,2.7643186993477142,-4.76122891022434,0.0,4.76122891022434,-3.946817639679706,8.397627035978967e-05,3.9469016159500656,0.0003358710255261979,0.0003358710255261979,0.0,0.0,0.00011195700850873264,0.00011195700850873264,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-1.0,-0.8)",ONE_TICK,100-200,5687,0.02530958471006259,-1.4844864665162096,0.002006888817763151,1.4864933553339728,-2.3752790711237535,0.0013566779667309632,2.3766357490904846,-2.0732968551736044,0.0015135854945593304,2.074810440668164,0.002110075611042729,0.002110075611042729,0.00017583963425356076,0.00017583963425356076,0.000703358537014243,0.000703358537014243,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-1.0,-0.8)",ONE_TICK,200+,1002,0.06409096986976107,-0.9610523500539343,0.031212466852801067,0.9922648169067354,-1.4126512895037309,0.029821899125176424,1.442473188628907,-1.314082709204354,0.03013482207982312,1.3442175312841773,0.0029940119760479044,0.0029940119760479044,0.001996007984031936,0.001996007984031936,0.0029940119760479044,0.0029940119760479044,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,5-25,214,0.05924872991290282,-36.47887213707357,0.0,36.47887213707357,-47.334861843248284,0.0,47.334861843248284,-42.41747386620128,0.0,42.41747386620128,0.0,0.0,0.0,0.0,0.0,0.0,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,25-50,926,0.09467734678611016,-10.841802868846695,0.0006548641700341676,10.842457733016728,-13.977239808897735,0.0,13.977239808897735,-12.635645000057668,0.0,12.635645000057668,0.0010799136069114472,0.0010799136069114472,0.0,0.0,0.0,0.0,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,50-100,3653,0.01996720624525552,-5.669637219479286,0.0014579369709598283,5.671095156450246,-7.286434512687283,0.000539723069396864,7.28697423575668,-6.6482014240049825,0.0008286245940829953,6.649030048599065,0.0008212428141253764,0.0008212428141253764,0.0002737476047084588,0.0002737476047084588,0.0002737476047084588,0.0002737476047084588,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,100-200,18955,0.011105758691959917,-5.102403664406567,0.0010066556468989374,5.103410320053466,-6.0342319591454805,0.0006756337273152005,6.034907592872796,-5.71324396150205,0.000755208457061716,5.71399916995911,0.0010023740437879187,0.0010023740437879187,0.0002110261144816671,0.0002110261144816671,0.00036929570034291746,0.00036929570034291746,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,200+,30811,0.007968708083150951,-3.9610760226679984,0.000821826955711357,3.9618978496237105,-4.091935718758167,0.0007899836017707515,4.092725702359938,-4.141918314770102,0.0007822449664208229,4.1427005597365225,0.00019473564636006622,0.00019473564636006622,0.00022719158742007725,0.00022719158742007725,0.00016227970530005519,0.00016227970530005519,100,0,SIGN(IMBALANCE)_AT_DECISION,M2-COST-LEDGER-v1,QIMB_CONSTRAINED_BOUND,"QIMB_CONSTRAINED_BOUND keeps the side dictated by queue imbalance (the sign that defines the bin) and adds clairvoyant abstention only: max(0, net_side). No new threshold, no side choice and no model enters this bound."
