check,method_a,method_b,observations,mismatches,tolerance,outcome,max_abs_difference,direction_mismatches
one_tick_classification,stored one_tick boolean,spread_raw == tick_raw arithmetic,14274000,0,0,PASS,,
midpoint_is_bid_plus_ask,stored mid2_raw,best_bid_raw + best_ask_raw,14274000,0,0,PASS,,
imbalance_formula,stored imbalance (float32),(q_bid - q_ask) / (q_bid + q_ask) in float64,14274000,,1e-06,PASS,2.979950530779263e-08,
future_return_bps_100ms,stored ret_bps (float32),10000 * (mid2_future - mid2_decision) / mid2_decision in float64,14274000,,0.001,PASS,2.754795866621862e-05,0
decimal_to_bps_identity_100ms,bps as stored,decimal return * 10000,14274000,,0.0,PASS,1.4210854715202004e-14,
future_return_bps_250ms,stored ret_bps (float32),10000 * (mid2_future - mid2_decision) / mid2_decision in float64,14273878,,0.001,PASS,2.754795866621862e-05,0
decimal_to_bps_identity_250ms,bps as stored,decimal return * 10000,14273878,,0.0,PASS,1.4210854715202004e-14,
future_return_bps_500ms,stored ret_bps (float32),10000 * (mid2_future - mid2_decision) / mid2_decision in float64,14273756,,0.001,PASS,2.9696194019379618e-05,0
decimal_to_bps_identity_500ms,bps as stored,decimal return * 10000,14273756,,0.0,PASS,2.842170943040401e-14,
future_return_bps_1000ms,stored ret_bps (float32),10000 * (mid2_future - mid2_decision) / mid2_decision in float64,14273451,,0.001,PASS,2.9696194019379618e-05,0
decimal_to_bps_identity_1000ms,bps as stored,decimal return * 10000,14273451,,0.0,PASS,2.842170943040401e-14,
commission_per_share_ibkr_pro_fixed_q1,commission_usd,per share * quantity,1,,1e-12,PASS,0.0,
commission_per_share_ibkr_pro_tiered_q1,commission_usd,per share * quantity,1,,1e-12,PASS,0.0,
commission_per_share_ibkr_pro_fixed_q10,commission_usd,per share * quantity,10,,1e-12,PASS,0.0,
commission_per_share_ibkr_pro_tiered_q10,commission_usd,per share * quantity,10,,1e-12,PASS,0.0,
commission_per_share_ibkr_pro_fixed_q100,commission_usd,per share * quantity,100,,1e-12,PASS,0.0,
commission_per_share_ibkr_pro_tiered_q100,commission_usd,per share * quantity,100,,1e-12,PASS,0.0,
commission_per_share_ibkr_pro_fixed_q500,commission_usd,per share * quantity,500,,1e-12,PASS,0.0,
commission_per_share_ibkr_pro_tiered_q500,commission_usd,per share * quantity,500,,1e-12,PASS,0.0,
commission_per_share_ibkr_pro_fixed_q1000,commission_usd,per share * quantity,1000,,1e-12,PASS,0.0,
commission_per_share_ibkr_pro_tiered_q1000,commission_usd,per share * quantity,1000,,1e-12,PASS,0.0,
tiered_commission_matches_rate_card,commission_usd(1000 shares at 50.0) = 3.5,1000 * 0.0035 (published lowest tier),1000,,1e-12,PASS,0.0,
arrival_quote_not_crossed,delay-0 arrival bid/ask,bid < ask required,1427400,0,0,PASS,,
