locate,symbol,reason
1,A,NOT_NASDAQ_LISTED
2,AA,NOT_NASDAQ_LISTED
3,AAAU,NOT_NASDAQ_LISTED
5,AAC,NOT_NASDAQ_LISTED
6,AADR,NOT_NASDAQ_LISTED
8,AAMC,NOT_NASDAQ_LISTED
9,AAME,FIRST_ADD_PRICE_BELOW_FLOOR
10,AAN,NOT_NASDAQ_LISTED
11,AAOI,FIRST_ADD_PRICE_BELOW_FLOOR
12,AAON,FIRST_ADD_PRICE_BELOW_FLOOR
13,AAP,NOT_NASDAQ_LISTED
15,AAT,NOT_NASDAQ_LISTED
16,AAU,NOT_NASDAQ_LISTED
18,AAXJ,NOT_COMMON_STOCK
20,AB,NOT_NASDAQ_LISTED
21,ABB,NOT_NASDAQ_LISTED
22,ABBV,NOT_NASDAQ_LISTED
23,ABC,NOT_NASDAQ_LISTED
24,ABCB,FIRST_ADD_PRICE_BELOW_FLOOR
25,ABDC,FIRST_ADD_PRICE_BELOW_FLOOR
27,ABEOW,NOT_COMMON_STOCK
28,ABEV,NOT_NASDAQ_LISTED
29,ABG,NOT_NASDAQ_LISTED
30,ABIL,NOT_COMMON_STOCK
32,ABM,NOT_NASDAQ_LISTED
34,ABR,NOT_NASDAQ_LISTED
35,ABR-A,NOT_NASDAQ_LISTED
36,ABR-B,NOT_NASDAQ_LISTED
37,ABR-C,NOT_NASDAQ_LISTED
38,ABT,NOT_NASDAQ_LISTED
41,AC,NOT_NASDAQ_LISTED
42,ACA,NOT_NASDAQ_LISTED
45,ACAMU,NOT_COMMON_STOCK
46,ACAMW,NOT_COMMON_STOCK
47,ACB,NOT_NASDAQ_LISTED
48,ACBI,FIRST_ADD_PRICE_BELOW_FLOOR
49,ACC,NOT_NASDAQ_LISTED
50,ACCO,NOT_NASDAQ_LISTED
52,ACES,NOT_NASDAQ_LISTED
54,ACGLO,NOT_COMMON_STOCK
55,ACGLP,NOT_COMMON_STOCK
56,ACH,NOT_NASDAQ_LISTED
57,ACHC,FIRST_ADD_PRICE_BELOW_FLOOR
61,ACIM,NOT_NASDAQ_LISTED
62,ACIO,NOT_NASDAQ_LISTED
66,ACM,NOT_NASDAQ_LISTED
68,ACN,NOT_NASDAQ_LISTED
69,ACNB,FIRST_ADD_PRICE_BELOW_FLOOR
71,ACP,NOT_NASDAQ_LISTED
72,ACRE,NOT_NASDAQ_LISTED
75,ACSG,NOT_NASDAQ_LISTED
76,ACSI,NOT_NASDAQ_LISTED
78,ACT,NOT_COMMON_STOCK
79,ACTG,FIRST_ADD_PRICE_BELOW_FLOOR
80,ACTT,NOT_COMMON_STOCK
81,ACTTU,NOT_COMMON_STOCK
82,ACTTW,NOT_COMMON_STOCK
83,ACU,NOT_NASDAQ_LISTED
84,ACV,NOT_NASDAQ_LISTED
85,ACWF,NOT_NASDAQ_LISTED
86,ACWI,NOT_COMMON_STOCK
87,ACWV,NOT_NASDAQ_LISTED
88,ACWX,NOT_COMMON_STOCK
89,ACY,NOT_NASDAQ_LISTED
90,ADAP,NOT_COMMON_STOCK
92,ADC,NOT_NASDAQ_LISTED
93,ADES,FIRST_ADD_PRICE_BELOW_FLOOR
96,ADILW,NOT_COMMON_STOCK
97,ADM,NOT_NASDAQ_LISTED
101,ADNT,NOT_NASDAQ_LISTED
102,ADOM,FIRST_ADD_PRICE_BELOW_FLOOR
105,ADRA,NOT_COMMON_STOCK
106,ADRD,NOT_COMMON_STOCK
107,ADRE,NOT_COMMON_STOCK
109,ADRU,NOT_COMMON_STOCK
110,ADS,NOT_NASDAQ_LISTED
112,ADSW,NOT_NASDAQ_LISTED
113,ADT,NOT_NASDAQ_LISTED
117,ADX,NOT_NASDAQ_LISTED
118,ADXS,FIRST_ADD_PRICE_BELOW_FLOOR
119,AE,NOT_NASDAQ_LISTED
120,AEB,NOT_NASDAQ_LISTED
121,AEE,NOT_NASDAQ_LISTED
122,AEF,NOT_NASDAQ_LISTED
123,AEG,NOT_NASDAQ_LISTED
124,AEGN,FIRST_ADD_PRICE_BELOW_FLOOR
125,AEH,NOT_NASDAQ_LISTED
128,AEL,NOT_NASDAQ_LISTED
129,AEM,NOT_NASDAQ_LISTED
130,AEMD,FIRST_ADD_PRICE_BELOW_FLOOR
131,AEO,NOT_NASDAQ_LISTED
132,AEP,NOT_NASDAQ_LISTED
133,AEP-B,NOT_NASDAQ_LISTED
134,AER,NOT_NASDAQ_LISTED
135,AERI,FIRST_ADD_PRICE_BELOW_FLOOR
136,AES,NOT_NASDAQ_LISTED
137,AEY,FIRST_ADD_PRICE_BELOW_FLOOR
140,AFB,NOT_NASDAQ_LISTED
141,AFC,NOT_NASDAQ_LISTED
142,AFG,NOT_NASDAQ_LISTED
143,AFGB,NOT_NASDAQ_LISTED
144,AFGE,NOT_NASDAQ_LISTED
145,AFGH,NOT_NASDAQ_LISTED
146,AFH,NOT_COMMON_STOCK
147,AFHBL,NOT_COMMON_STOCK
