locate,symbol,rank,add_count,first_add_price_usd,market_category,issue_classification,scope
14,AAPL,0,611614,189.86,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5289,MSFT,1,567984,1.01,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5334,MU,2,553525,49.5,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
337,AMD,3,439847,35.5,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4184,INTC,4,385610,50.46,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
3459,GOOG,5,370500,1241.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2741,FB,6,357910,212.5,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
3460,GOOGL,7,325952,1230.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6494,QCOM,8,266627,1.01,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1740,CSCO,9,252502,51.5,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5702,NVDA,10,244229,1.01,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6474,PYPL,11,242929,121.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6964,SBUX,12,213685,95.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1534,CMCSA,13,206696,46.95,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7928,TSLA,14,206425,238.88,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
325,AMAT,15,205754,1.01,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7991,TXN,16,191375,88.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
386,AMZN,17,188074,1923.81,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6089,PEP,18,187863,132.1,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2277,EBAY,19,178193,38.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5273,MRVL,20,175846,26.65,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2884,FISV,21,173991,104.27,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8813,ZION,22,169811,49.57,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8665,XEL,23,167999,63.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
604,ATVI,24,167230,49.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6413,PTEN,25,164198,16.15,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1142,BYND,26,163167,209.07,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5498,NFLX,27,162966,339.39,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5845,ON,28,160648,18.5,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7810,TMUS,29,160417,84.8,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
3339,GILD,30,152527,67.79,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
94,ADI,31,151089,121.1,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1767,CSX,32,147446,71.93,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8497,WDC,33,145681,60.43,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7,AAL,34,145185,30.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5020,MDLZ,35,145009,55.83,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2886,FITB,36,143076,27.58,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5723,NWL,37,140887,15.45,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8688,XLNX,38,140348,1.01,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8470,WBA,39,129446,50.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4592,KHC,40,125783,35.68,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2043,DISCA,41,123196,32.24,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7701,TER,42,121245,57.55,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5986,PAYX,43,117392,1.01,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4,AABA,44,116432,58.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1735,CRZO,45,115983,25.95,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6779,ROKU,46,115482,105.2,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2263,EA,47,112556,97.84,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
91,ADBE,48,111732,307.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4959,MAT,49,109625,25.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4878,LRCX,50,104686,1.01,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2584,ETFC,51,104078,55.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4991,MCHP,52,103932,98.25,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7450,SSNC,53,102916,56.19,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1799,CTSH,54,101213,1.01,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2084,DLTR,55,101000,126.5,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5736,NXPI,56,98904,104.5,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7492,STLD,57,98881,23.76,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
320,ALXN,58,97494,109.0,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
379,AMTD,59,97223,53.99,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6789,ROST,60,96854,1.01,Q,C,DEVELOPMENT_SCOPE_NOT_UNIVERSE_MEMBERSHIP
