locate,symbol,rank,add_count,first_add_price_usd,market_category,issue_classification,scope
14,AAPL,0,611614,189.86,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
386,AMZN,1,188074,1923.81,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1142,BYND,2,163167,209.07,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2741,FB,3,357910,212.5,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5498,NFLX,4,162966,339.39,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
337,AMD,5,439847,35.5,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
3459,GOOG,6,370500,1241.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7928,TSLA,7,206425,238.88,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5289,MSFT,8,567984,1.01,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
3460,GOOGL,9,325952,1230.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6474,PYPL,10,242929,121.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2884,FISV,11,173991,104.27,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5334,MU,12,553525,49.5,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
91,ADBE,13,111732,307.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5702,NVDA,14,244229,1.01,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4106,ILMN,15,50521,291.78,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
4184,INTC,16,385610,50.46,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6494,QCOM,17,266627,1.01,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7450,SSNC,18,102916,56.19,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
1428,CHTR,19,41152,385.79,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7991,TXN,20,191375,88.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2263,EA,21,112556,97.84,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6964,SBUX,22,213685,95.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
6089,PEP,23,187863,132.1,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
5736,NXPI,24,98904,104.5,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
8496,WDAY,25,57612,225.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2686,EXAS,26,63194,117.0,S,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
280,ALGN,27,60045,210.0,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
3339,GILD,28,152527,67.79,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
2698,EXPE,29,89465,151.88,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
7810,TMUS,30,160417,84.8,Q,C,UNIVERSE_PROXY_SCOPE_NOT_UNIVERSE_MEMBERSHIP
