subset,horizon_ms,filled_attempts,mid_markout_bps_n,mid_markout_bps_mean,mid_markout_bps_median,mid_markout_bps_p05,mid_markout_bps_p25,mid_markout_bps_p75,mid_markout_bps_p95,mid_markout_bps_share_positive,fill_price_markout_bps_n,fill_price_markout_bps_mean,fill_price_markout_bps_median,fill_price_markout_bps_p05,fill_price_markout_bps_p25,fill_price_markout_bps_p75,fill_price_markout_bps_p95,fill_price_markout_bps_share_positive,gross_exit_bps_n,gross_exit_bps_mean,gross_exit_bps_median,gross_exit_bps_p05,gross_exit_bps_p25,gross_exit_bps_p75,gross_exit_bps_p95,gross_exit_bps_share_positive,mid_markout_bps_block_se,mid_markout_bps_ci_low,mid_markout_bps_ci_high
primary,10,6067,6067,-0.883583945969774,-0.6683598449399081,-3.007428576453633,-1.3431232333994154,0.0,0.48239266763101324,0.10631283995384869,6067,-0.3951827302907541,-0.4479885314944596,-1.859219925319715,-0.959877135726436,0.23975640762759162,1.1357699507471968,0.2828416021097742,6067,-1.321524550642744,-1.0315659170626281,-3.522247456382388,-1.9232618521021476,0.0,0.0,0.008900609856601285,0.05263324701420377,-0.9911135253716484,-0.7848350720901114
all,10,15768,15768,-1.0276764805491765,-0.5072858937286413,-4.766563985236293,-1.4187717746347834,0.0,1.0237811750004937,0.15620243531202435,15768,-0.11465439089312798,-0.15382012307499693,-3.157446055098985,-0.882768361581118,0.5879413371762765,3.1254232652627523,0.39015728056823945,15768,-2.088111188875852,-1.0381521144556412,-8.276536675228364,-2.1981647119096013,0.0,0.0,0.016425672247590055,0.03948816134666143,-1.107929506943612,-0.9525435842515517
primary,25,6067,6067,-0.8939335984923589,-0.6683598449399081,-3.0295686478189507,-1.4250850638351447,0.0,0.5816050120219488,0.11307071040052745,6067,-0.4055331974624982,-0.44790826838622705,-2.002402883458331,-0.9614922381721738,0.2400096005227358,1.1407711613040048,0.28564364595351904,6067,-1.3432873026809469,-1.0345541071788646,-3.6831349327725014,-1.9249278152072304,0.0,0.0,0.010878523158068238,0.050850502843208675,-0.9956193811269558,-0.8010203856345879
all,25,15768,15768,-1.0487414273784676,-0.5077044144901437,-4.897033021944001,-1.4327673902149316,0.0,1.0763741308080568,0.16336884830035514,15768,-0.13572894353275733,-0.11378475030150235,-3.298099380452038,-0.8962180466201974,0.6038771548261689,3.200236842178869,0.39015728056823945,15768,-2.1333137757578386,-1.0532968190433971,-8.360286735744973,-2.268280975836936,0.0,0.0,0.019533231861998984,0.0425574354179194,-1.1307654360347303,-0.9668671059404828
primary,50,6067,6067,-0.8926539499456391,-0.6670224119524351,-3.1557860050466098,-1.425415152161771,0.0,0.7073236556017996,0.12394923355859568,6067,-0.4042526766767565,-0.44742729306447004,-2.10293897908831,-0.9619084263183068,0.24036728134502244,1.2120330792162066,0.29355529915938683,6067,-1.3562678913769701,-1.0328444536258126,-3.742514970059136,-1.9264110961288994,0.0,0.0,0.013350914784901928,0.05163779393597654,-0.9939512375906859,-0.7964559441449183
all,50,15768,15767,-1.0014400473855474,-0.4803996925451252,-4.89452367107078,-1.4138605470062624,0.0,1.1906108863038274,0.18126466670894906,15767,-0.08840443408523714,-1.2721201965089969e-12,-3.3449894368522326,-0.8831878877253406,0.6685497486443079,3.4370879374493186,0.41174605188050994,15767,-2.186629089875028,-1.0695187165780873,-8.528072601420568,-2.2842784609925326,0.0,0.0,0.021373755311727024,0.03997954212899686,-1.0807923271754305,-0.923613123831965
primary,100,6067,6066,-0.9069616255401457,-0.6683151804220693,-3.24785189728602,-1.426431780900808,-0.0,0.7165376898818361,0.12660731948565776,6066,-0.41862879512228673,-0.4480688233708623,-2.29164494673426,-0.9624639076039572,0.24032395679750235,1.3727789551596754,0.29162545334652157,6066,-1.3822655542065347,-1.0518012124801634,-3.8636145194005382,-1.9278966647383866,0.0,0.0,0.014507088691064951,0.049575047609820566,-1.0073249583791055,-0.8156950278763718
all,100,15768,15764,-1.0128179871034886,-0.48072300740338025,-5.09497355607317,-1.4165309181561987,0.0,1.2978336042728704,0.18605683836589698,15764,-0.10002977631060599,-1.2715510661419114e-12,-3.478026143189544,-0.891599453869592,0.6796479447199755,3.5935460176916325,0.41207815275310833,15764,-2.220451095738927,-1.0806721812504918,-8.768696593371528,-2.304526816423929,0.0,0.0,0.02359807155544278,0.04254173121632994,-1.0941768772159681,-0.9328365301892286
primary,250,6067,6065,-0.9192337631744945,-0.6695232994102105,-3.2757906684763656,-1.4362313289914168,0.0,0.9016482316945076,0.14047815333882935,6065,-0.4310247639962767,-0.45134500812379963,-2.6803532280202558,-0.9639483323698782,0.35438372669894763,1.4925373134314783,0.29942291838417145,6065,-1.408932960829964,-1.0525207872860873,-4.086470680774966,-1.929570670525424,0.0,0.0,0.023742786479802144,0.05713226319104059,-1.039295498664801,-0.8115424460474214
all,250,15768,15761,-1.0669269771627719,-0.49154541879624974,-5.458515283841709,-1.4435569242628024,0.0,1.4434874657172274,0.19529217689232917,15761,-0.15409814331916852,-1.3690611479000004e-12,-4.014129736674002,-0.9433962264142364,0.7109341674974639,3.658090476771264,0.4108876340333735,15761,-2.284771197212384,-1.1398609369646535,-9.030704394943148,-2.4177949709859794,0.0,0.0,0.0314066366347313,0.04754946895689402,-1.1626376516079004,-0.9768769790817807
primary,500,6067,6063,-0.9463306476557433,-0.7088930634807291,-3.6373005243173617,-1.4854978295079153,0.0,1.0231386014273363,0.15850239155533563,6063,-0.4583803585798253,-0.48023819814720875,-2.900400732940501,-0.9827044404757472,0.36789047598406016,1.506931886679493,0.30710869206663366,6063,-1.4426865555919715,-1.0804970286321887,-4.277526004201657,-1.9567558676259722,0.0,0.0,0.036945406564407056,0.06084184792606802,-1.0681378552822771,-0.8329065617040893
all,500,15768,15755,-1.115672729878121,-0.5147740142072946,-5.846627665269119,-1.5121730271684153,-0.0,1.527693935687939,0.2076166296413837,15755,-0.20295014335627995,-1.7155616243377805e-12,-4.291937599839885,-0.9688044952526653,0.7199424046069766,3.695007695948041,0.41034592192954616,15755,-2.3599352645303706,-1.1954572624034805,-9.5802852463773,-2.550109681249114,0.0,0.0,0.04074896858140273,0.05194182051432947,-1.2194273874238162,-1.0186685171595307
