subset,horizon_ms,filled_attempts,mid_markout_bps_n,mid_markout_bps_mean,mid_markout_bps_median,mid_markout_bps_p05,mid_markout_bps_p25,mid_markout_bps_p75,mid_markout_bps_p95,mid_markout_bps_share_positive,fill_price_markout_bps_n,fill_price_markout_bps_mean,fill_price_markout_bps_median,fill_price_markout_bps_p05,fill_price_markout_bps_p25,fill_price_markout_bps_p75,fill_price_markout_bps_p95,fill_price_markout_bps_share_positive,gross_exit_bps_n,gross_exit_bps_mean,gross_exit_bps_median,gross_exit_bps_p05,gross_exit_bps_p25,gross_exit_bps_p75,gross_exit_bps_p95,gross_exit_bps_share_positive,mid_markout_bps_block_se,mid_markout_bps_ci_low,mid_markout_bps_ci_high
primary,10,31737,31737,-0.9333862922111997,-0.5390254420003722,-3.1368940785843935,-1.4895360095337924,0.0,1.3940698786979756e-12,0.07357343164130195,31737,-0.09393150269531977,0.0,-1.8464265536287237,-0.7646429117616858,0.6787944610365806,1.5042117930212267,0.44878217852979174,31737,-1.0318407929672773,-0.7113387395071066,-3.471659686633466,-1.7464198393290273,0.0,0.0,0.010902101647918832,0.041271696662170836,-1.0181261992142134,-0.8533950814153609
all,10,90796,90796,-1.5355130891534365,-0.7594263800619891,-5.994305409861569,-1.860061382621899,0.0,1.5161479478504217e-12,0.07168818009603947,90796,0.07000670016440759,0.0,-3.010385853854242,-0.7645259938830966,0.8376612497911918,3.387992952975428,0.474712542402749,90796,-1.9691502523370596,-0.950209045990604,-7.9302141157814265,-2.14477211796204,0.0,0.0,0.013392660469624212,0.04752805863191174,-1.6352581937987591,-1.447278975176923
primary,25,31737,31737,-0.9430744300914693,-0.5391416864347048,-3.245418625272792,-1.4939867035169798,0.0,1.4719868146117903e-12,0.07713394460724075,31737,-0.10361966158788434,0.0,-1.9220050384941012,-0.7661074082601185,0.6798096532964586,1.5096618357495648,0.44909726817279516,31737,-1.0455353042878708,-0.7116424708220114,-3.5323207347232652,-1.752541184717492,0.0,0.0,0.013139238113243218,0.04239450525097666,-1.031944883364412,-0.8685781966166851
all,25,90796,90796,-1.5611797415455273,-0.7606876616465172,-6.113157239020434,-1.893547146565155,0.0,1.6404080407753516e-12,0.07548790695625358,90796,0.044333842454215226,0.0,-3.1431714628793896,-0.7796663028216829,0.8396305625529065,3.41982644589127,0.47244371998766466,90796,-2.0113926865375356,-0.9606147934669458,-8.050861579678331,-2.213368747233373,0.0,0.0,0.015584386977399885,0.04971311407036315,-1.6592337578492544,-1.4646304811422326
primary,50,31737,31737,-0.9390297389973112,-0.5259835893115351,-3.2578595862511843,-1.4913131011863567,0.0,1.5161479478504217e-12,0.08151369064498849,31737,-0.09957342231362261,0.0,-1.9562580815439432,-0.7660487206979397,0.7072135785000639,1.5124016938906708,0.454768881746857,31737,-1.0509104044106181,-0.7114905727492639,-3.584614837743025,-1.753463089601615,0.0,0.0,0.014210542899454896,0.04296153394295757,-1.0239181462589524,-0.8572574059056898
all,50,90796,90795,-1.5040050041480826,-0.7115918309251338,-5.998200539838276,-1.8149126240779352,0.0,2.0142241189471675e-12,0.0830221928520293,90795,0.10151952445448946,0.0,-3.157429460834897,-0.7616532954192321,0.8944543828269335,3.65155416687251,0.49542375681480255,90795,-2.048096130192583,-0.9614460148067604,-8.246833299807946,-2.256063169769106,0.0,0.0,0.01655377498760945,0.049107293642773504,-1.6078879304856593,-1.4132794036429843
primary,100,31737,31737,-0.9480708947117551,-0.5262327001010012,-3.264240248082769,-1.4942099364968422,0.0,1.6401240366093836e-12,0.08488514982512525,31737,-0.10861544219067122,0.0,-2.0061522000803222,-0.8167265599469867,0.7077140835096182,1.5143255416432577,0.45372908592494565,31737,-1.0667648418647513,-0.7119464616254382,-3.612194788397021,-1.761804087386384,0.0,0.0,0.01625862557897722,0.04245074506719552,-1.031674478004822,-0.8668517335601128
all,100,90796,90793,-1.5218554093685261,-0.7126821793814564,-6.106345771927238,-1.8226556092222748,0.0,2.116757982453564e-12,0.08652649433326358,90793,0.0836319593775536,0.0,-3.22792126564688,-0.7648768548256772,0.8944543828269335,3.6606360311466797,0.49360633529016557,90793,-2.078652094174855,-0.9639483323698782,-8.331019161344388,-2.276867030966556,0.0,0.0,0.018635797913936096,0.04927093034972357,-1.6236890843403156,-1.4304801048571554
primary,250,31737,31735,-0.9657303044716958,-0.538967338578792,-3.3911412486989443,-1.5271255701264947,0.0,2.1104707381305423e-12,0.09550968961714196,31735,-0.1262814015791936,0.0,-2.1639505931800116,-0.8298755186714444,0.7128599942984978,1.6265452179567357,0.4533480384433591,31735,-1.0933090100593879,-0.7130633200221694,-3.7243947858478816,-1.7661603673610051,0.0,0.0,0.023444146841027257,0.04538377674200437,-1.0524923998452822,-0.8773804725530574
all,250,90796,90788,-1.571892534595021,-0.7217958280194576,-6.414080212843511,-1.8958356786411514,0.0,0.2500994157982,0.09526589417103581,90788,0.033613510004033925,0.0,-3.5056232701908736,-0.8130411845665423,0.8964656841913295,3.670967142244611,0.48909547517293034,90788,-2.138885985354895,-0.9879307792512977,-8.507604380921268,-2.340641335726078,0.0,0.0,0.02486011367141032,0.051768089176499596,-1.6780502814942766,-1.4778565126460443
