trading_day,unit,symbol,horizon_ms,bin_index,bin,observations,mean_bps,prob_positive,cells_with_data,note
2019-07-30,SYMBOL,AABA,100,0,"[-1.0,-0.8)",805,-0.0281001233166049,0.0037267080745341614,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,AAL,100,0,"[-1.0,-0.8)",505,-0.06133827077280177,0.0,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,AAPL,100,0,"[-1.0,-0.8)",1674,-0.032953546715181505,0.03942652329749104,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ABMD,100,0,"[-1.0,-0.8)",3619,-0.010310893494900369,0.004973749654600719,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ADBE,100,0,"[-1.0,-0.8)",3157,-0.00982525068198649,0.020905923344947737,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ADI,100,0,"[-1.0,-0.8)",1846,-0.01752210921029745,0.01950162513542795,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ADP,100,0,"[-1.0,-0.8)",2246,-0.008560355709582064,0.008904719501335707,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ADSK,100,0,"[-1.0,-0.8)",930,-0.026386019523425768,0.00967741935483871,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,AKAM,100,0,"[-1.0,-0.8)",380,-0.02208357312177357,0.031578947368421054,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ALGN,100,0,"[-1.0,-0.8)",2278,-0.010667926228758114,0.014925373134328358,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ALXN,100,0,"[-1.0,-0.8)",2186,-0.020994418494110247,0.018755718206770355,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,AMAT,100,0,"[-1.0,-0.8)",307,-0.0708448617000145,0.003257328990228013,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,AMD,100,0,"[-1.0,-0.8)",746,-0.12863060152882225,0.0,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,AMGN,100,0,"[-1.0,-0.8)",1581,-0.013679229462923392,0.013282732447817837,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,AMTD,100,0,"[-1.0,-0.8)",488,-0.04604019395640639,0.0,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,AMZN,100,0,"[-1.0,-0.8)",5620,-0.005798908463576511,0.042704626334519574,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,ATVI,100,0,"[-1.0,-0.8)",600,-0.050400495529174805,0.0016666666666666668,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,AVGO,100,0,"[-1.0,-0.8)",2342,0.0005174654477890692,0.01067463706233988,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,BIIB,100,0,"[-1.0,-0.8)",2909,-0.012901446742673803,0.011344104503265727,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,BKNG,100,0,"[-1.0,-0.8)",5736,-0.0035899910819944063,0.0048814504881450485,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,BLUE,100,0,"[-1.0,-0.8)",3918,0.0047755786476846,0.008677896886166412,13,recomputed from symbol x 30-minute cell means and counts
2019-07-30,SYMBOL,BYND,100,0,"[-1.0,-0.8)",2990,-0.00888071070147996,0.051839464882943144,13,recomputed from symbol x 30-minute cell means and counts
