trading_day,unit,unit_id,trading_days,symbols,grid_points_per_symbol,decision_observations,expected_observations_if_always_quoted,valid_book_state_fraction,missing_state_fraction,note,first_decision_utc_ns,last_decision_utc_ns
2019-07-30,POOLED,ALL_DEV_SCOPE_SYMBOLS,1,115,23400,2691000,2691000,1.0,0.0,MISSING = no two-sided book at the grid instant; the split into never-quoted / halted / one-sided is not observable from this product,,
2019-07-30,SYMBOL,AABA,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,AAL,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,AAPL,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,ABMD,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,ADBE,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,ADI,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,ADP,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,ADSK,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,AKAM,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,ALGN,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,ALXN,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,AMAT,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,AMD,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,AMGN,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,AMTD,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,AMZN,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,ATVI,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,AVGO,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,BIIB,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,BKNG,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,BLUE,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,BYND,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,CELG,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,CERN,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,CGNX,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,CHTR,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,CMCSA,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,CME,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,COST,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,CSCO,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,CSGP,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,CSX,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,CTAS,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,CTSH,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,CTXS,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,DISH,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,DLTR,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,EA,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,EBAY,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,EQIX,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,EXAS,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,EXPE,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,FANG,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,FB,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,FISV,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,GHDX,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,GILD,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,GOOG,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,GOOGL,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
2019-07-30,SYMBOL,GRMN,1,1,23400,23400,23400,1.0,0.0,,34200000000000,57599000000000
