horizon_ms,threshold_abs_imbalance,observations,coverage_fraction_of_valid,hit_rate_given_nonzero_move,balanced_accuracy_given_nonzero_move,unconditional_hit_fraction_including_flats,directional_hits,directional_misses,zero_moves,zero_move_fraction,fraction_non_abstained,baseline_hit_rate_unconditional_side,note
100,0.0,2458422,0.913571906354515,0.6203644264480767,0.6203482788851336,0.02044075427245607,50252,30752,2377418,0.9670504087581383,0.913571906354515,0.5049133376129574,diagnostic only; thresholds declared before results; no optimisation
100,0.1,2166834,0.8052151616499442,0.6291600851589864,0.6291923955758738,0.02113959814180505,45806,26999,2094029,0.9664002872393548,0.8052151616499442,0.5053224366458349,diagnostic only; thresholds declared before results; no optimisation
100,0.2,1928757,0.7167435897435898,0.6363196930559961,0.6363511908609175,0.021840491052009144,42125,24076,1862556,0.9656768582045328,0.7167435897435898,0.5052944819564659,diagnostic only; thresholds declared before results; no optimisation
100,0.3,1658884,0.6164563359345968,0.6438720228968619,0.6439078040533531,0.02278278649983965,37794,20904,1600186,0.9646159707369533,0.6164563359345968,0.5068145422331255,diagnostic only; thresholds declared before results; no optimisation
100,0.5,1047581,0.3892905982905983,0.6572205267612136,0.6573866998203264,0.024463024816219463,25627,13366,1008588,0.962778057257625,0.3892905982905983,0.5069114969353474,diagnostic only; thresholds declared before results; no optimisation
100,0.8,467174,0.17360609438870309,0.6504355353568144,0.6508609278280268,0.02573345263220984,12022,6461,448691,0.9604365825152941,0.17360609438870309,0.5045176648812423,diagnostic only; thresholds declared before results; no optimisation
250,0.0,2458422,0.913571906354515,0.6183640876642743,0.6183272663233214,0.03921661944125134,96411,59502,2302509,0.9365800501297173,0.913571906354515,0.5065966276064215,diagnostic only; thresholds declared before results; no optimisation
250,0.1,2166834,0.8052151616499442,0.6274205875840196,0.6274237599467016,0.040537023140674366,87837,52160,2026837,0.9353909898035567,0.8052151616499442,0.5072251548247463,diagnostic only; thresholds declared before results; no optimisation
250,0.2,1928757,0.7167435897435898,0.6352207202949239,0.6352257236194268,0.04180931034858201,80640,46308,1801809,0.9341814443188022,0.7167435897435898,0.5068059362888742,diagnostic only; thresholds declared before results; no optimisation
250,0.3,1658884,0.6164563359345968,0.6438462291957933,0.6438440500117333,0.043584723223564756,72302,39995,1546587,0.9323056946718397,0.6164563359345968,0.5074579018139398,diagnostic only; thresholds declared before results; no optimisation
250,0.5,1047581,0.3892905982905983,0.6571249761911241,0.6572439466063784,0.046106219948624495,48300,25202,974079,0.929836451787499,0.3892905982905983,0.5071018475687736,diagnostic only; thresholds declared before results; no optimisation
250,0.8,467174,0.17360609438870309,0.646436426321108,0.646766258111747,0.046556529258905674,21750,11896,433528,0.927979724899074,0.17360609438870309,0.5052903762705819,diagnostic only; thresholds declared before results; no optimisation
500,0.0,2458422,0.913571906354515,0.6140665866103941,0.6140354430986799,0.0642733428190929,158011,99308,2201103,0.8953316395639154,0.913571906354515,0.5052600080056272,diagnostic only; thresholds declared before results; no optimisation
500,0.1,2166834,0.8052151616499442,0.6230386694819356,0.6230331891985715,0.06631887814202657,143702,86945,1936187,0.8935557592321332,0.8052151616499442,0.5055951302206403,diagnostic only; thresholds declared before results; no optimisation
500,0.2,1928757,0.7167435897435898,0.6302677955712206,0.6302649936848764,0.06823565643572518,131610,77206,1719941,0.8917354544921937,0.7167435897435898,0.5053875181978392,diagnostic only; thresholds declared before results; no optimisation
500,0.3,1658884,0.6164563359345968,0.6381892628675073,0.6381818363653025,0.07084280757424871,117520,66626,1474738,0.8889940466000034,0.6164563359345968,0.5059246467476893,diagnostic only; thresholds declared before results; no optimisation
500,0.5,1047581,0.3892905982905983,0.6517681236851771,0.6518477572426857,0.07452788853558819,78074,41714,927793,0.8856527562069186,0.3892905982905983,0.5051006778642267,diagnostic only; thresholds declared before results; no optimisation
500,0.8,467174,0.17360609438870309,0.6412227814960267,0.6414199229903427,0.07444335515246996,34778,19459,412937,0.8839040700038958,0.17360609438870309,0.5036783007909729,diagnostic only; thresholds declared before results; no optimisation
1000,0.0,2458422,0.913571906354515,0.6079712955318203,0.6079330115900831,0.10393659021925447,255520,164763,2038139,0.8290435897498477,0.913571906354515,0.5053618633159085,diagnostic only; thresholds declared before results; no optimisation
1000,0.1,2166834,0.8052151616499442,0.6166707431196563,0.6166555587364102,0.107048809461177,231957,144187,1790690,0.8264084835294259,0.8052151616499442,0.5057265302650049,diagnostic only; thresholds declared before results; no optimisation
1000,0.2,1928757,0.7167435897435898,0.6238688763559523,0.6238534483381742,0.1100589654373257,212277,127982,1588498,0.8235863823177311,0.7167435897435898,0.5057911767212624,diagnostic only; thresholds declared before results; no optimisation
1000,0.3,1658884,0.6164563359345968,0.6313104996292362,0.6312928922380255,0.11393382539104603,189003,110379,1359502,0.8195280682675823,0.6164563359345968,0.5057986118069892,diagnostic only; thresholds declared before results; no optimisation
1000,0.5,1047581,0.3892905982905983,0.646108641060475,0.6461505159875772,0.11985421652359102,125557,68771,853253,0.8144983538265776,0.3892905982905983,0.504929809394426,diagnostic only; thresholds declared before results; no optimisation
1000,0.8,467174,0.17360609438870309,0.6374224398019013,0.6375439327766601,0.11984399816770624,55988,31847,379339,0.8119865403468515,0.17360609438870309,0.501702054989469,diagnostic only; thresholds declared before results; no optimisation
