imbalance_bin,spread_class,price_band,observations,mean_oracle_gross_bps,mean_oracle_net_structural_floor_bps,mean_oracle_net_accessible_fixed_bps,mean_oracle_net_accessible_tiered_bps,prob_oracle_net_structural_floor_positive,prob_oracle_net_accessible_fixed_positive,prob_oracle_net_accessible_tiered_positive,mean_oracle_net_structural_floor_bps_signal_defined,mean_oracle_net_accessible_fixed_bps_signal_defined,mean_oracle_net_accessible_tiered_bps_signal_defined,observations_signal_defined,share_of_valid_states,share_of_signal_defined_observations,horizon_ms,delay_ms,oracle_trade_fraction,oracle_buy_fraction,cost_ledger_id,label,note
"[-1.0,-0.8)",ONE_TICK,5-25,331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,0.00012300260126347083,0.00013463921165690837,100,0,0.0,0.9818731117824774,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",ONE_TICK,25-50,4240,0.003306810333336897,0.001015078755850159,0.0,0.0,0.0011792452830188679,0.0,0.0,0.001015078755850159,0.0,0.0,4240,0.0015756224451876626,0.0017246835571761072,100,0,0.0011792452830188679,0.9686320754716982,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",ONE_TICK,50-100,13430,0.0016574650376142896,0.0007413885990864395,5.409752094851635e-08,0.00022707884784662515,0.0008190618019359643,0.00022338049143708115,0.0002978406552494416,0.0007413885990864395,5.409752094851635e-08,0.00022707884784662515,13430,0.004990709773318469,0.0054628538143573395,100,0,0.0008190618019359643,0.9697691734921817,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",ONE_TICK,100-200,7045,0.0050875308734347315,0.0023343060314721577,0.0012403048958458194,0.0014959451465740095,0.00383250532292406,0.00042583392476933996,0.00113555713271824,0.0023343060314721577,0.0012403048958458194,0.0014959451465740095,7045,0.002617985878855444,0.0028656593538456785,100,0,0.004116394606103619,0.9533002129169624,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",ONE_TICK,200+,1050,0.03335165367370134,0.029785611225244445,0.028458612308025502,0.02875723021331692,0.002857142857142857,0.0019047619047619048,0.002857142857142857,0.029785611225244445,0.028458612308025502,0.02875723021331692,1050,0.00039018952062430326,0.00042710323939502655,100,0,0.007619047619047619,0.8857142857142857,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,5-25,989,0.00440192575447907,0.001467828227372806,0.0,0.0,0.0010111223458038423,0.0,0.0,0.001467828227372806,0.0,0.0,989,0.0003675213675213675,0.000402290575011125,100,0,0.0010111223458038423,0.9656218402426694,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,25-50,3246,0.0015336917887657513,0.0004567113601814926,0.0,0.0,0.0006161429451632779,0.0,0.0,0.0004567113601814926,0.0,0.0,3246,0.0012062430323299888,0.001320359157215482,100,0,0.0006161429451632779,0.9707332101047443,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,50-100,33172,0.0019439937052724138,0.0012333260561098582,0.0006267947777203669,0.0008207200470952355,0.0006632099360906789,0.0002411672494875196,0.00027131315567345955,0.0012333260561098582,0.0006267947777203669,0.0008207200470952355,33172,0.012327015979189893,0.01349320824496364,100,0,0.0006632099360906789,0.9827565416616424,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,100-200,65552,0.0010911828919453548,0.0006080568984892575,0.00034986466344412193,0.0004201147796709775,0.0006407127166219185,0.00019831584085916524,0.000305101293629485,0.0006080568984892575,0.00034986466344412193,0.0004201147796709775,65552,0.02435971757710888,0.02666425861792646,100,0,0.0007474981693922382,0.974783378081523,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,200+,110768,0.0007716471660722497,0.0006024438828111425,0.000548567446771702,0.0005484976684332583,0.00022569695218835765,0.00023472483027589194,0.00020764119601328904,0.0006024438828111425,0.000548567446771702,0.0005484976684332583,110768,0.04116239316239316,0.045056544401246006,100,0,0.0004513939043767153,0.9746587462082912,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-0.8,-0.6)",ONE_TICK,5-25,753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753,0.0002798216276477146,0.000306294037394719,100,0,0.0,0.99867197875166,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-0.8,-0.6)",ONE_TICK,25-50,12551,0.0036088925989389243,0.0022668215282828632,0.0009335384581936553,0.0013626607366775474,0.0007967492630069317,0.0002390247789020795,0.0003186997052027727,0.0022668215282828632,0.0009335384581936553,0.0013626607366775474,12551,0.004664065403195838,0.005105307388235217,100,0,0.0007967492630069317,0.9822324914349454,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
"[-0.8,-0.6)",ONE_TICK,50-100,29933,0.0011185759731754832,0.00036873138681179463,9.839101519806741e-09,6.27219704821169e-05,0.0006681588881836101,6.681588881836101e-05,0.00010022383322754151,0.00036873138681179463,9.839101519806741e-09,6.27219704821169e-05,29933,0.011123374210330732,0.012175696442677457,100,0,0.0006681588881836101,0.9806902081314937,M2-COST-LEDGER-v1,ORACLE_UPPER_BOUND,"ORACLE_UPPER_BOUND uses future information by construction: at each decision instant it takes max(0, net_long, net_short) from the realised future bid/ask. It bounds what any causal side choice at these instants could have earned; it is not a strategy, not achievable, and must never enter model training, a backtest or a promotion decision."
