price_usd,quantity,structural_floor_one_way_buy_bps,structural_floor_one_way_sell_bps,structural_floor_round_trip_bps,accessible_fixed_one_way_buy_bps,accessible_fixed_one_way_sell_bps,accessible_fixed_round_trip_bps,accessible_tiered_one_way_buy_bps,accessible_tiered_one_way_sell_bps,accessible_tiered_round_trip_bps
5,100,6.0,6.596,12.595999999999998,20.0,20.0,40.0,13.41118,14.007180000000002,27.41836
5,1000,6.0,6.596,12.596,10.0,10.0,20.0,13.411179999999998,14.007179999999998,27.418359999999996
10,100,3.0,3.401,6.401,10.0,10.0,20.0,6.70559,7.10659,13.81218
10,1000,3.0,3.401,6.401,5.0,5.0,10.0,6.705589999999999,7.10659,13.81218
25,100,1.2,1.484,2.684,4.0,4.0,8.0,2.682236,2.9662360000000003,5.648472
25,1000,1.2,1.484,2.684,2.0,2.0,4.0,2.6822359999999996,2.966236,5.648472
50,100,0.6,0.845,1.4449999999999998,2.0,2.0,4.0,1.341118,1.5861180000000001,2.927236
50,1000,0.6,0.845,1.445,1.0,1.0,2.0,1.3411179999999998,1.5861180000000001,2.9272359999999997
100,100,0.3,0.5255,0.8254999999999998,1.0,1.0,2.0,0.670559,0.896059,1.566618
100,1000,0.3,0.5255,0.8254999999999999,0.5,0.5,1.0,0.6705589999999999,0.8960589999999999,1.566618
200,100,0.15,0.36575,0.51575,0.5,0.5,1.0,0.3352795,0.5510295000000001,0.886309
200,1000,0.15,0.36575,0.51575,0.25,0.25,0.5,0.33527949999999995,0.5510295000000001,0.8863089999999999
500,100,0.06,0.2699,0.3299,0.2,0.2,0.4,0.1341118,0.3440118,0.4781236
500,1000,0.06,0.2699,0.3299,0.1,0.1,0.2,0.13411179999999998,0.34401180000000003,0.47812360000000004
