date,scope,symbol,locate,adds,adds_mpid,executes,executes_with_price,cancels,deletes,replaces,orphan_execute,orphan_execute_with_price,orphan_cancel,orphan_delete,orphan_replace,replace_duplicate_new_ref,order_id_collision,negative_remaining,cancel_oversized,implausible_size,crossed_book_updates,locked_book_updates,empty_side_updates,reconciliation_samples,reconciliation_mismatches,live_orders_end_of_day,verdict
2019-07-30,DEV_SCOPE,AAPL,14,608656,2958,59179,643,1596,568438,57717,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,AMZN,386,185124,2950,18451,93,115,175822,52288,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,BYND,1142,161071,2096,34951,85,763,139185,49995,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,FB,2741,356260,1650,40006,355,323,327713,63553,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,NFLX,5498,160539,2427,18525,72,229,150120,39816,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,AMD,337,438471,1376,41939,626,11322,407089,33195,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,GOOG,3459,369578,922,8586,60,77,364814,73407,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,TSLA,7928,202663,3762,22983,88,212,190323,47608,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,MSFT,5289,564798,3186,26672,678,9121,547821,54624,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,GOOGL,3460,325096,856,7631,36,18,320484,91344,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,PYPL,6474,242388,541,23452,550,450,225260,33705,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,FISV,2884,173755,236,21802,611,687,158229,23548,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,MU,5334,552615,910,25169,295,9014,534337,47189,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,ADBE,91,111115,617,11874,56,92,103307,29434,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,NVDA,5702,241938,2291,13504,95,183,234713,37514,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,ILMN,4106,49720,801,9946,164,71,43673,21322,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,INTC,4184,383683,1927,20180,290,3013,369870,33606,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,QCOM,6494,265060,1567,18821,924,578,252711,27862,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,SSNC,7450,102428,488,24953,168,475,84552,31006,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,CHTR,1428,40950,202,6038,28,51,36943,12293,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,TXN,7991,190673,702,13863,208,334,181126,25929,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,EA,2263,112195,361,16989,95,217,100486,19470,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,SBUX,6964,213191,494,12773,228,570,203393,24622,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,PEP,6089,187404,459,12223,187,170,179385,28432,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,NXPI,5736,98565,339,14252,222,290,89306,17943,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,WDAY,8496,57306,306,10885,54,230,49813,15792,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,EXAS,2686,62527,667,10651,45,126,55364,31264,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,ALGN,280,59547,498,6654,74,96,55626,20450,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,GILD,3339,151529,998,15839,183,1000,141078,15560,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,EXPE,2698,89195,270,10631,90,225,81766,19501,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,TMUS,7810,160128,289,13353,201,573,150332,19557,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,ROKU,6779,114702,780,10743,132,84,107982,33564,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,BIIB,869,43780,953,6218,34,84,40510,14083,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,CSCO,1740,250806,1696,10638,201,9307,244580,21844,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,AMGN,342,71181,455,6512,17,83,67233,11061,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,ZBRA,8794,28097,329,6167,70,70,24019,19251,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,BKNG,908,23408,269,1803,21,8,22270,8988,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,ALXN,320,97153,341,9378,85,138,90714,20732,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,NBIX,5417,41739,449,9660,206,79,35740,17745,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,CELG,1311,89710,533,9157,141,281,83870,9546,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,MELI,5039,15329,223,2144,12,8,14039,8938,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,ADP,103,69385,245,7524,73,34,64373,11609,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,CMCSA,1534,206269,427,9813,193,1608,198957,20768,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,AVGO,627,73720,492,4123,38,14,71330,18003,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,MDLZ,5020,144617,392,11358,168,2109,135852,16768,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,XLNX,8688,139976,372,9093,90,202,133795,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,VRTX,8399,46116,287,6492,27,69,41505,15434,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,TTD,7941,32226,379,5472,20,17,28722,15721,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,CSX,1767,147101,345,10230,237,177,139759,16859,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,CME,1539,36122,234,5732,38,41,32400,13089,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,ISRG,4267,36836,427,3110,44,13,35213,12482,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,DISH,2046,85355,386,17342,235,285,73415,23048,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,PAYX,5986,117037,355,7867,102,941,112021,11957,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,SBAC,6939,29854,240,4611,58,52,26741,9310,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,INTU,4189,43713,212,4848,24,111,40542,16609,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,EQIX,2519,30673,197,3079,1,17,28699,12959,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,CGNX,1363,69690,572,13031,271,118,60780,16597,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,COST,1648,57092,438,4355,13,62,54729,12467,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,ULTA,8091,28959,209,3276,6,64,26825,13039,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,CTXS,1808,72348,179,7669,70,290,67000,12938,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,TTWO,7955,92956,336,6410,49,117,88652,17032,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,WDC,8497,145327,354,10399,237,300,138216,16889,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,GHDX,3318,45301,288,8131,31,204,40753,11912,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,CSGP,1744,11534,174,2093,7,10,10260,6986,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,MEDP,5035,34475,289,7320,105,54,29397,14020,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,ORLY,5895,27617,187,3128,14,29,25507,10597,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
2019-07-30,DEV_SCOPE,LRCX,4878,104404,282,5203,17,36,100813,17360,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,RECONSTRUCTION_CONSISTENT
