locate,symbol,valid_observations,median_spread_ticks,fraction_at_one_tick,median_spread_equals_one_tick,fraction_threshold_met,minimum_observations_met,large_tick_proxy,proxy_status,reporting_only
7163,SIRI,23400,1.0,0.9998717948717949,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
337,AMD,23400,1.0,0.9917521367521368,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
1534,CMCSA,23400,1.0,0.9891025641025641,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
4184,INTC,23400,1.0,0.9864957264957265,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
5273,MRVL,23400,1.0,0.9843162393162393,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
5334,MU,23400,1.0,0.9741025641025641,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
1740,CSCO,23400,1.0,0.974017094017094,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
2277,EBAY,23400,1.0,0.9653418803418803,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
5020,MDLZ,23400,1.0,0.9535042735042735,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
7,AAL,23400,1.0,0.9396581196581196,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
6494,QCOM,23400,1.0,0.9133333333333333,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
8665,XEL,23400,1.0,0.9118376068376068,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
325,AMAT,23400,1.0,0.8847863247863248,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
379,AMTD,23400,1.0,0.8765811965811966,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
4,AABA,23400,1.0,0.8577777777777778,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
6964,SBUX,23400,1.0,0.8190598290598291,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
604,ATVI,23400,1.0,0.802991452991453,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
1767,CSX,23400,1.0,0.8014102564102564,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
8470,WBA,23400,1.0,0.8001709401709401,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
1799,CTSH,23400,1.0,0.7951709401709401,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
5289,MSFT,23400,1.0,0.7844444444444445,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
5986,PAYX,23400,1.0,0.7332905982905983,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
8497,WDC,23400,1.0,0.706025641025641,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
3339,GILD,23400,1.0,0.688034188034188,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
2884,FISV,23400,1.0,0.6550854700854701,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
7810,TMUS,23400,1.0,0.6434615384615384,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
6474,PYPL,23400,1.0,0.6432051282051282,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
1327,CERN,23400,1.0,0.6314529914529915,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
1808,CTXS,23400,1.0,0.5771367521367521,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
7701,TER,23400,1.0,0.5599572649572649,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
1311,CELG,23400,1.0,0.5573931623931624,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
14,AAPL,23400,1.0,0.5330769230769231,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
6089,PEP,23400,1.0,0.5244871794871795,True,True,True,True,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
5371,MXIM,23400,2.0,0.49444444444444446,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
7991,TXN,23400,2.0,0.46316239316239316,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
1363,CGNX,23400,2.0,0.3772649572649573,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
3499,GRMN,23400,2.0,0.37188034188034186,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
7450,SSNC,23400,2.0,0.33076923076923076,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
2741,FB,23400,2.0,0.317051282051282,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
250,AKAM,23400,2.0,0.3033760683760684,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
2084,DLTR,23400,2.0,0.18602564102564104,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
2046,DISH,23400,3.0,0.18081196581196582,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
7557,SWKS,23400,2.0,0.18055555555555555,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
94,ADI,23400,2.0,0.16576923076923078,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
6789,ROST,23400,3.0,0.14435897435897435,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
4991,MCHP,23400,3.0,0.13055555555555556,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
2698,EXPE,23400,3.0,0.12414529914529915,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
7992,TXRH,23400,3.0,0.12303418803418803,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
4931,LYFT,23400,3.0,0.11846153846153847,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
2263,EA,23400,3.0,0.11615384615384615,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
8014,UAL,23400,3.0,0.11474358974358974,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
4953,MAR,23400,3.0,0.11094017094017095,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
5913,OSTK,23400,3.0,0.09474358974358975,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
5736,NXPI,23400,4.0,0.08923076923076922,False,False,True,False,LARGE_TICK_PROXY_SINGLE_DAY_NOT_MEMBERSHIP,True
