locate,symbol,market_category,issue_classification,dollar_volume_usd,shares_traded,trade_count,cross_messages,median_trade_price_usd,price_ok,median_dollar_volume,liquidity_rank_all_eligible,liquidity_rank,in_liquidity_decile,reason_code,proxy_status,reporting_only
4,AABA,Q,C,35481732.83,501776,4636,2,70.7,True,35481732.83,111,111,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
7,AAL,Q,C,41574158.005,1358865,11900,2,30.645,True,41574158.005,95,95,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
9,AAME,G,C,963.05,407,4,2,2.36,True,963.05,2258,2131,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
11,AAOI,G,C,949231.165,101437,993,2,9.435,True,949231.165,927,924,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
12,AAON,Q,C,2083038.815,40693,813,2,51.46,True,2083038.815,703,701,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
14,AAPL,Q,C,1523635898.25,7228848,76474,2,208.92,True,1523635898.25,0,0,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
17,AAWW,Q,C,2899535.475,62713,1122,2,46.535,True,2899535.475,604,603,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
19,AAXN,Q,C,10216099.475,148460,2328,2,69.27,True,10216099.475,285,285,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
24,ABCB,Q,C,4210063.275,106119,1714,2,39.77,True,4210063.275,498,498,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
25,ABDC,Q,C,20795.78,2505,21,2,8.31,True,20795.78,1912,1858,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
26,ABEO,S,C,385519.595,129422,837,2,2.985,True,385519.595,1175,1170,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
31,ABIO,S,C,114450.82,17268,166,2,6.6,True,114450.82,1488,1477,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
33,ABMD,Q,C,33725265.945,121538,3241,2,277.85,True,33725265.945,112,112,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
39,ABTX,G,C,955851.68,28315,483,2,33.76,True,955851.68,925,922,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
40,ABUS,Q,C,60915.22,33453,392,2,1.87,True,60915.22,1647,1623,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
43,ACAD,Q,C,8941446.09,361124,4389,2,24.78,True,8941446.09,312,312,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
44,ACAM,S,C,0.0,0,0,2,,False,0.0,2329,,False,NO_TRADES_ON_SAMPLE_DAY,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
48,ACBI,Q,C,1317973.33,71733,811,2,18.37,True,1317973.33,835,833,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
51,ACER,S,C,153309.15,56281,508,2,2.69,True,153309.15,1409,1400,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
53,ACGL,Q,C,28416971.74,718123,7375,2,39.6,True,28416971.74,132,132,True,PROXY_LIQUIDITY_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
57,ACHC,Q,C,11288015.11,348774,4080,2,32.46,True,11288015.11,268,268,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
58,ACHN,Q,C,2669567.4,594209,3098,2,4.51,True,2669567.4,625,624,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
59,ACHV,S,C,5173.4,2793,22,2,1.85,True,5173.4,2125,2025,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
60,ACIA,Q,C,11919643.345,180372,2335,2,66.17,True,11919643.345,260,260,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
63,ACIU,G,C,285222.91,50971,631,2,5.61,True,285222.91,1242,1237,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
64,ACIW,Q,C,6535486.17,193043,2511,2,33.86,True,6535486.17,378,378,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
65,ACLS,Q,C,1032206.38,63859,862,2,16.2,True,1032206.38,904,901,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
67,ACMR,G,C,224365.61,12709,213,2,17.65,True,224365.61,1300,1295,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
69,ACNB,S,C,22870.63,614,17,2,37.26,True,22870.63,1892,1839,False,LIQUIDITY_OUTSIDE_TOP_DECILE,SINGLE_DAY_LIQUIDITY_PROXY_NOT_UNIVERSE_MEMBERSHIP,True
