date,scope,symbol,locate,sequence_numbers_present,sequence_source,tracking_number_regressions,tracking_number_gaps,tracking_number_max_gap,substitute_check_verdict,note
2019-07-30,FULL_TAPE,ALL,,false,ABSENT_IN_PRODUCT,0,0,0,MONOTONIC_SUBSTITUTE_OK,"The ITCH payload carries no sequence number; sequencing belongs to the transport wrapper (SoupBinTCP/MoldUDP64) and is absent from a captured file. The tracking number is audited as a SUBSTITUTE only: it is documented as a Nasdaq-internal tracking number, not as a sequence contract, so a gap here is reported and not repaired."
2019-07-30,DEV_SCOPE,AAPL,14,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,AMZN,386,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,BYND,1142,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,FB,2741,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,NFLX,5498,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,AMD,337,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,GOOG,3459,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,TSLA,7928,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,MSFT,5289,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,GOOGL,3460,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,PYPL,6474,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,FISV,2884,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,MU,5334,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,ADBE,91,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,NVDA,5702,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,ILMN,4106,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,INTC,4184,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,QCOM,6494,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,SSNC,7450,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,CHTR,1428,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,TXN,7991,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,EA,2263,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,SBUX,6964,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,PEP,6089,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
2019-07-30,DEV_SCOPE,NXPI,5736,false,ABSENT_IN_PRODUCT,NOT_PER_SYMBOL,NOT_PER_SYMBOL,NOT_PER_SYMBOL,SEE_FULL_TAPE_ROW,"tracking number is a feed-level counter, not a per-symbol sequence"
