date,scope,symbol,locate,messages,duplicate_check_applied,duplicates_adjacent,duplicates_within_bucket,timestamp_reversals,max_reversal_ns,identical_timestamp_messages,messages_late_after_decision,exact_duplicates_within_bucket_full_tape,tuple_key_repeats_adjacent,receive_clock_present,sequence_number_present,channel_field_present
2019-07-30,DEV_SCOPE,AAPL,14,1316317,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,56833,0,,,false,false,false
2019-07-30,DEV_SCOPE,AMZN,386,444913,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,33043,0,,,false,false,false
2019-07-30,DEV_SCOPE,BYND,1142,417454,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,32062,0,,,false,false,false
2019-07-30,DEV_SCOPE,FB,2741,796042,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,30554,0,,,false,false,false
2019-07-30,DEV_SCOPE,NFLX,5498,378838,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,20592,0,,,false,false,false
2019-07-30,DEV_SCOPE,AMD,337,946798,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,37376,0,,,false,false,false
2019-07-30,DEV_SCOPE,GOOG,3459,821121,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,11039,0,,,false,false,false
2019-07-30,DEV_SCOPE,TSLA,7928,473108,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,27074,0,,,false,false,false
2019-07-30,DEV_SCOPE,MSFT,5289,1211896,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,29142,0,,,false,false,false
2019-07-30,DEV_SCOPE,GOOGL,3460,749402,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,10010,0,,,false,false,false
2019-07-30,DEV_SCOPE,PYPL,6474,532067,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,13890,0,,,false,false,false
2019-07-30,DEV_SCOPE,FISV,2884,383713,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,9615,0,,,false,false,false
2019-07-30,DEV_SCOPE,MU,5334,1173103,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,22289,0,,,false,false,false
